,Event ID,Event Name,Category Bucket,Date (start),End Date,End Date Type,Location (State/US),old_deaths,Estimated Cost (2024$),Duration (Days),T1 Partial Recovery (days),T2 Full Recovery (days),V1,V2,V3,A1,A2,A3,R1,R2,R3,Vigilance Score,Agility Score,Resilience Score,Total Points,VAR Score (0-100),Source Type,Source Title,Source URL,Cost Estimate (Nominal USD),Cost Year (Nominal),Cost Range / Notes,Cost Source (URL/Citation),Notes,VAR Insight / Lessons Learned,Recovery Basis / Assumption,Recovery Confidence,Recovery Efficiency Score (1-5),Fatalities
10,E011,Southwest power outage (San Diego),Non-weather infrastructure disruptions (electrical + cyber + fuel + critical systems),9/8/2011,9/9/2011,Actual,CA/AZ,0,90000000.0,1,1,5,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Investigation report,"FERC/NERC Report on Sept 8, 2011 Southwest Outages (PDF)",https://www.ferc.gov/sites/default/files/2020-05/04-27-2012-ferc-nerc-report.pdf,90000000,2011.0,Reported total cost estimates ~$80–$100M; using $90M midpoint.,https://www.insurancejournal.com/news/west/2011/09/13/215102.htm,Cost value is nominal per cited source (not CPI-adjusted to 2024).,"Vigilance was weak to moderate because grid interconnection risk and equipment failure potential were not fully anticipated. Agility was mixed: restoration efforts moved quickly, but the regional nature of the outage exposed coordination limits. Resilience improved through technical and operational reviews of grid protection systems. The lesson is that tightly coupled infrastructure demands both redundancy and cross-jurisdictional incident playbooks.",Most service came back within days; downstream normalization within the following week.,High,5,0.0
11,E012,West Fertilizer explosion,Other mass-casualty / infrastructure / terror,4/17/2013,5/1/2013,Estimated,TX,15,100000000.0,14,14,365,2,1,2,2,2,2,2,2,2,5,6,6,17,94.4,Investigation report,CSB Investigation: West Fertilizer Fire & Explosion (PDF),https://www.csb.gov/assets/1/6/west_fertilizer_final_report_for_website_021216.pdf,100000000,2013.0,Insurance Council of Texas estimate ~ $100M in damages (not CPI-adjusted).,https://wjla.com/news/nation-world/west-fertilizer-co-explosion-damage-to-cost-100-million-group-says-87912,Cost value is nominal per cited source (not CPI-adjusted to 2024).,"Vigilance was weak because known fertilizer storage and fire risks were not managed effectively before the explosion. Agility was limited by the speed and violence of the event, though local responders acted quickly. Resilience improved through greater national attention to chemical storage and industrial safety oversight. Leaders should focus on prevention, inspection, and hazardous-material controls, especially where public exposure is high.",Immediate stabilization and debris clearance were weeks; community/infrastructure recovery about a year.,Medium,3,15.0
12,E013,2014–2016 Ebola epidemic (CDC response),Health events,7/1/2014,6/9/2016,Actual,US/Global,,5400000000.0,709,30,730,2,2,1,2,2,2,3,2,2,5,6,7,18,100.0,Public health report,CDC's Response to the 2014–2016 Ebola Epidemic (MMWR PDF),https://www.cdc.gov/mmwr/volumes/65/su/pdfs/su6503.pdf,5400000000,2014.0,"Emergency Ebola appropriation provided about $5.4B (funding, not total economic cost).",https://www.kff.org/global-health-policy/the-u-s-response-to-ebola-status-of-the-fy2015-emergency-ebola-appropriation/,Cost value is nominal per cited source (not CPI-adjusted to 2024).,"Vigilance was stronger than in many prior outbreaks because international surveillance identified the Ebola threat early, but domestic preparedness gaps still appeared. Agility improved as CDC and health systems rapidly built screening, tracing, and treatment protocols. Resilience increased through stronger infectious-disease preparedness and coordination procedures. The lesson is that rare but high-consequence health threats require prebuilt surge protocols, not ad hoc improvisation.",Initial containment and response scale-up were weeks; sustained recovery and monitoring lasted years.,Medium,3,11.0
13,E014,COVID-19 (CDC response strategy),Health events,1/20/2020,5/11/2023,Actual,US/Global,,16000000000000.0,1207,180,1460,2,2,1,2,2,2,3,2,2,5,6,7,18,100.0,Public health strategy,CDC Strategy for Global Response to COVID-19 (PDF),https://archive.cdc.gov/www_cdc_gov/coronavirus/2019-ncov/global-covid-19/pdfs/CDCGlobalCOVIDStrategy_2020-2023.pdf,1.60E+13,2020.0,"Cutler & Summers estimate of total cost (lost output + health losses), described as “more than $16T” (not CPI-adjusted).",https://pmc.ncbi.nlm.nih.gov/articles/PMC7604733/,Cost value is nominal per cited source (not CPI-adjusted to 2024).,"Vigilance was mixed because early global warning signs existed, but domestic readiness and interpretation varied across institutions. Agility was uneven: some organizations moved quickly on testing, distancing, and emergency operations, while others struggled with coordination and supply chains. Resilience improved through vaccines, better public-health infrastructure, and expanded preparedness doctrine, but gaps remained. The decision lesson is that complex crises reward organizations that can act under uncertainty and learn quickly.",Initial stabilization required months; full societal and system normalization was multi-year.,High,4,1100000.0
14,E015,Texas Winter Storm Uri / power crisis,Weather events (including storm-related outages),2/14/2021,2/21/2021,Actual,TX,,27223200000.0,7,14,365,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Investigation / event report,FERC/NERC Event Report: Feb 2021 Cold Weather Outages (PDF),https://www.nerc.com/globalassets/our-work/reports/event-reports/february_2021_cold_weather_report.pdf,22686000000,2021.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,"Vigilance was weak because prior warnings about winterization and cold-weather grid risk had been raised but not fully addressed. Agility was moderate at best: operators used rolling blackouts, but cascading failures overwhelmed the system. Resilience improved afterward through reform pressure, winterization requirements, and reliability reviews. Leaders should see this as a case where prevention and infrastructure hardening would have been more valuable than reactive crisis management.",Basic utility restoration occurred over days to weeks; full remediation/reliability changes extended about a year.,High,3,0.0
15,E016,Champlain Towers South collapse (Surfside),Other mass-casualty / infrastructure / terror,6/24/2021,7/7/2021,Actual,FL,98,1000000000.0,13,21,730,2,1,2,2,2,2,2,2,2,5,6,6,17,94.4,Investigation report,NIST NCST Investigation update (PDF),https://www.nist.gov/system/files/documents/2024/03/06/13_CTS_Conclusion_NCSTAC_March2024.pdf,1000000000,2023.0,Settlement approved around $1B for victims (proxy for economic impact; not CPI-adjusted).,https://apnews.com/article/48430d033303b26d2ec45067b9df34dc,Cost value is nominal per cited source (not CPI-adjusted to 2024).,"Vigilance was weak because structural concerns were not detected or acted on before the collapse. Agility was strong in the emergency response, with fast rescue and interagency coordination. Resilience improved through national review of building inspections and reserve-fund practices, though that change came after tragedy. The lesson is that inspection regimes must be designed to surface low-frequency but catastrophic infrastructure risks.","Rescue-to-stabilization was weeks; legal, housing, and community recovery extended multiple years.",Medium,2,98.0
16,E017,Hurricane Isabel,Weather events (including storm-related outages),9/18/2003,9/19/2003,Actual,Mid-Atlantic (US),,9322900000.0,1,7,240,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Official dataset (NOAA),NOAA Billion-Dollar Weather & Climate Disasters (Events PDF),https://www.ncei.noaa.gov/access/billions/events.pdf,5484000000,2003.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,Vigilance was relatively strong because hurricane forecasting enabled advance preparation and public warning. Agility was moderate because response operations and power restoration faced multi-state coordination challenges. Resilience improved as the event informed later coastal preparedness and infrastructure hardening. Leaders should note that forecast quality must be matched by logistics and restoration planning.,Utility and transport stabilization was days; broader restoration lasted months.,Medium,3,0.0
17,E018,Hurricane Charley,Weather events (including storm-related outages),8/13/2004,8/14/2004,Actual,FL,,26719200000.0,1,7,180,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Official dataset (NOAA),NOAA Billion-Dollar Weather & Climate Disasters (Events PDF),https://www.ncei.noaa.gov/access/billions/events.pdf,15999500000,2004.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,"Vigilance was strong due to accurate storm tracking and warning, which supported evacuation efforts. Agility was tested by rapid landfall impacts, but emergency management performed better where local planning was mature. Resilience improved through rebuilding and further refinement of coastal response planning. The lesson is that strong warning systems are most effective when local agencies can translate them into operational action.",Fast-moving storm with rapid basic restoration but months for complete recovery.,Medium,3,0.0
18,E019,Hurricane Ivan,Weather events (including storm-related outages),9/16/2004,9/21/2004,Actual,Gulf Coast (US),,34031000000.0,5,10,270,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Official dataset (NOAA),NOAA Billion-Dollar Weather & Climate Disasters (Events PDF),https://www.ncei.noaa.gov/access/billions/events.pdf,20500500000,2004.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,"Vigilance benefited from strong meteorological forecasting, but infrastructure and population exposure still drove major impacts. Agility was mixed because response and evacuation capacity varied across affected regions. Resilience improved through post-storm recovery investments and stronger preparedness learning for Gulf Coast communities. Leaders should treat repeated seasonal hazards as a readiness management problem, not as isolated surprises.",Critical services returned in days; full regional recovery took many months.,Medium,3,0.0
19,E020,Hurricane Frances,Weather events (including storm-related outages),9/5/2004,9/9/2004,Actual,FL,,16268000000.0,4,10,240,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Official dataset (NOAA),NOAA Billion-Dollar Weather & Climate Disasters (Events PDF),https://www.ncei.noaa.gov/access/billions/events.pdf,9800000000,2004.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,"Vigilance was strong because forecasting allowed broad warning and evacuation actions before landfall. Agility was mixed as prolonged impacts across Florida stressed coordination, sheltering, and infrastructure restoration. Resilience improved through iterative improvements in hurricane planning, emergency management, and grid restoration. The key lesson is that repeated events create a chance to build institutional memory if organizations deliberately capture and apply lessons learned.",Widespread disruptions drove multi-month full recovery despite early stabilization.,Medium,3,0.0
20,E021,Hurricane Wilma,Weather events (including storm-related outages),10/24/2005,10/24/2005,Actual,FL,,30020000000.0,0,7,180,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Official dataset (NOAA),NOAA Billion-Dollar Weather & Climate Disasters (Events PDF),https://www.ncei.noaa.gov/access/billions/events.pdf,19000000000,2005.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,"Vigilance generally depends on forecasting and early warning systems. In this event, warnings likely existed but preparedness and infrastructure exposure determined the severity. Agility is reflected in evacuation, emergency response, and restoration of power and services. Resilience comes from rebuilding infrastructure, improving disaster planning, and strengthening mitigation policies. The key decision lesson is that proactive infrastructure investment and evacuation planning significantly reduce disaster impact.",Electric and transport restoration was relatively fast; full insurance/home recovery lasted months.,Medium,3,0.0
21,E022,Hurricane Ike,Weather events (including storm-related outages),9/13/2008,9/14/2008,Actual,TX/LA,,43198400000.0,1,14,365,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Official dataset (NOAA),NOAA Billion-Dollar Weather & Climate Disasters (Events PDF),https://www.ncei.noaa.gov/access/billions/events.pdf,29998800000,2008.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,"Vigilance generally depends on forecasting and early warning systems. In this event, warnings likely existed but preparedness and infrastructure exposure determined the severity. Agility is reflected in evacuation, emergency response, and restoration of power and services. Resilience comes from rebuilding infrastructure, improving disaster planning, and strengthening mitigation policies. The key decision lesson is that proactive infrastructure investment and evacuation planning significantly reduce disaster impact.",Critical systems recovered over weeks; full housing/business rebuild stretched roughly a year.,High,3,0.0
22,E023,Midwest/Great Plains Floods,Weather events (including storm-related outages),6/1/2008,6/30/2008,Estimated,Midwest (US),,14937800000.0,29,30,730,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Official dataset (NOAA),NOAA Billion-Dollar Weather & Climate Disasters (Events PDF),https://www.ncei.noaa.gov/access/billions/events.pdf,9958400000,2008.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,"Vigilance generally depends on forecasting and early warning systems. In this event, warnings likely existed but preparedness and infrastructure exposure determined the severity. Agility is reflected in evacuation, emergency response, and restoration of power and services. Resilience comes from rebuilding infrastructure, improving disaster planning, and strengthening mitigation policies. The key decision lesson is that proactive infrastructure investment and evacuation planning significantly reduce disaster impact.",Flood recession and access restoration took weeks; infrastructure/agricultural recovery took years.,Medium,3,0.0
23,E024,Hurricane Irene,Weather events (including storm-related outages),8/27/2011,8/28/2011,Actual,East Coast (US),,18756700000.0,1,14,300,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Official dataset (NOAA),NOAA Billion-Dollar Weather & Climate Disasters (Events PDF),https://www.ncei.noaa.gov/access/billions/events.pdf,13494000000,2011.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,"Vigilance generally depends on forecasting and early warning systems. In this event, warnings likely existed but preparedness and infrastructure exposure determined the severity. Agility is reflected in evacuation, emergency response, and restoration of power and services. Resilience comes from rebuilding infrastructure, improving disaster planning, and strengthening mitigation policies. The key decision lesson is that proactive infrastructure investment and evacuation planning significantly reduce disaster impact.",Essential services returned within weeks; full repair for transport/housing took months.,Medium,3,0.0
24,E025,Hurricane Sandy,Weather events (including storm-related outages),10/29/2012,10/31/2012,Actual,Northeast (US),,88453900000.0,2,30,1095,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Official dataset (NOAA),NOAA Billion-Dollar Weather & Climate Disasters (Events PDF),https://www.ncei.noaa.gov/access/billions/events.pdf,65039600000,2012.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,"Vigilance generally depends on forecasting and early warning systems. In this event, warnings likely existed but preparedness and infrastructure exposure determined the severity. Agility is reflected in evacuation, emergency response, and restoration of power and services. Resilience comes from rebuilding infrastructure, improving disaster planning, and strengthening mitigation policies. The key decision lesson is that proactive infrastructure investment and evacuation planning significantly reduce disaster impact.",Transit/utilities partially recovered within weeks; coastal housing and infrastructure took years.,High,2,0.0
25,E026,2012 U.S. drought/heat wave,Weather events (including storm-related outages),6/1/2012,12/31/2012,Actual,US,,41705200000.0,213,90,730,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Official dataset (NOAA),NOAA Billion-Dollar Weather & Climate Disasters (Events PDF),https://www.ncei.noaa.gov/access/billions/events.pdf,30003600000,2012.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,"Vigilance generally depends on forecasting and early warning systems. In this event, warnings likely existed but preparedness and infrastructure exposure determined the severity. Agility is reflected in evacuation, emergency response, and restoration of power and services. Resilience comes from rebuilding infrastructure, improving disaster planning, and strengthening mitigation policies. The key decision lesson is that proactive infrastructure investment and evacuation planning significantly reduce disaster impact.",Partial agricultural/weather normalization tracked across season; full economic/ecosystem recovery took years.,Medium,4,0.0
26,E027,"Moore, OK tornado",Weather events (including storm-related outages),5/20/2013,5/22/2013,Actual,OK,,3240500000.0,2,14,365,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Official dataset (NOAA),NOAA Billion-Dollar Weather & Climate Disasters (Events PDF),https://www.ncei.noaa.gov/access/billions/events.pdf,2400300000,2013.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,"Vigilance generally depends on forecasting and early warning systems. In this event, warnings likely existed but preparedness and infrastructure exposure determined the severity. Agility is reflected in evacuation, emergency response, and restoration of power and services. Resilience comes from rebuilding infrastructure, improving disaster planning, and strengthening mitigation policies. The key decision lesson is that proactive infrastructure investment and evacuation planning significantly reduce disaster impact.",Community stabilization in weeks; full rebuilding about a year.,Medium,3,0.0
27,E028,2013 Colorado floods,Weather events (including storm-related outages),9/11/2013,9/16/2013,Actual,CO,,2036500000.0,5,14,240,2,2,2,2,3,2,2,2,2,6,7,6,19,105.6,Official dataset (NOAA),NOAA Billion-Dollar Weather & Climate Disasters (Events PDF),https://www.ncei.noaa.gov/access/billions/events.pdf,1508500000,2013.0,NOAA reports event-level loss estimates; see methodology on NCEI site.,https://www.ncei.noaa.gov/access/billions/,Cost from NOAA NCEI Billion-Dollar Weather and Climate Disasters (CPI-adjusted to 2024; values in millions).,"Vigilance generally depends on forecasting and early warning systems. In this event, warnings likely existed but preparedness and infrastructure exposure determined the severity. Agility is reflected in evacuation, emergency response, and restoration of power and services. Resilience comes from rebuilding infrastructure, improving disaster planning, and strengthening mitigation policies. The key decision lesson is that proactive infrastructure investment and evacuation planning significantly reduce disaster impact.",Road/opening and services restored in weeks; full rebuild several months.,Medium,3,0.0
